,name,rating,reviews,domain,location,years_old,employee_strength,tags,about
74,Ujjivan Small Fina...,4.1,(2.1k),Public,Bengaluru + 246 more,3 years old,10000+ employees,"Banking / Insurance / Accounting, Financial Services, Public, Bengaluru","Ujjivan Small Finance Bank Limited is a mass market focused bank in India, catering to financially unserved and underserved segments and committed to building financial inclusion in the country. Our Promoter, Ujjivan Financial Services Limited (UFSL) commenced operations as an NBFC in 2005 with the mission to provide a full range of financial services to the ‘economically active poor’ who were not adequately served by financial institutions. On 7, October, 2015, UFSL received RBI In-Principle Approval to set up a Small Finance Bank(SFB), following which it incorporated Ujjivan Small Finance Bank Limited as a wholly-owned subsidiary. UFSL, subsequent to obtaining RBI Final Approval on November 11, 2016 to establish and carry on business as an SFB, transferred its business undertaking comprising of its lending and financing business to our Bank, which commenced its operations from 1, February, 2017. We are a ‘scheduled bank’ included in the Second Schedule to the Reserve Bank of India Act, 1934."
75,IIFL,3.8,(2.1k),Public,Mumbai + 285 more,25 years old,10000+ employees,"Banking / Insurance / Accounting, Financial Services, Fortune500, Public, Mumbai","IIFL is a financial services conglomerate which was started by a group of passionate entrepreneurs in 1995. The genesis of IIFL lies in the power of dreaming big and believing in your dreams.

IIFL was the pioneer in the retail broking industry with its launch of 5paisa trading platform which offered the lowest brokerage in the industry and the freedom from traditional ways of transacting. Our strength has been to continuously innovate and reinvent ourselves. IIFL’s evolution from an entrepreneurial start-up in 1995 to a full range diversified financial services group is a story of steady growth by adapting to the dynamic business environment, without losing focus on our core domain of financial services.

Today, IIFL Holdings Limited (Bloomberg Code: IIFL IN, NSE: IIFL, BSE: 532636) is India’s leading integrated financial services group with diverse operating businesses, mainly, Non Banking and Housing Finance, Wealth and Asset Management, Financial Advisory and Broking, Mutual Funds and Financial Product Distribution, Investment Banking, Institutional Equities, Realty Broking and Advisory Services.

IIFL serves more than 4 million satisfied customers across various business segments and is continuously building on its strengths to deliver excellent service to its expanding customer base."
76,UltraTech Cement,4.3,(2k),Public,Mumbai + 210 more,37 years old,10000+ employees,"Manufacturing, Engineering & Construction, Fortune500, Public, Mumbai","UltraTech Cement Ltd. is the largest manufacturer of grey cement, Ready Mix Concrete (RMC) and white cement in India. It is also one of the leading cement producers globally. UltraTech as a brand embodies 'strength', 'reliability' and 'innovation'. Together, these attributes inspire engineers to stretch the limits of their imagination to create homes, buildings and structures that define the new India. The company has an installed capacity of 93 Million Tonnes Per Annum (MTPA) of grey cement. UltraTech Cement has 18 integrated plants, 1 clinkerisation plant, 25 grinding units and 7 bulk terminals. Its operations span across India, UAE, Bahrain, Bangladesh and Sri Lanka. UltraTech Cement is also India's largest exporter of cement reaching out to meet the demand in countries around the Indian Ocean and the Middle East."
77,Vivo Smartphone,4.0,(2k),Private,Dongguan + 238 more,11 years old,10000+ employees,"Manufacturing, Electronics, MNC","Vivo is a global smartphone manufacturer with production facilities and R&D centers in China (Dongguan, Shenzhen, Nanjing, Beijing, Hangzhou and Chongqing), India, Indonesia and the United States (Silicon Valley and San Diego). Over the years, Vivo has developed smartphone markets, with presence in China, India and Southeast Asia (Indonesia, Malaysia, Vietnam, Thailand, Myanmar and the Philippines). In 2017, Vivo will further expand to regions like Hong Kong, Macau, Taiwan, Southeast Asia, South Asia as well as the Middle East.

Vivo develops dynamic and stylish products for passionate, energetic young people. We focus on creating smartphones that provide customers with the ultimate experience in both mobile photography and Hi-Fi audio. Apart from smartphones, Vivo also develops various apps and internet tools which are seamlessly integrated into our products. In the future Vivo’s goal is to create a complete mobile internet ecosystem, comprehensively satisfying all user needs."
78,Samsung Electronic...,4.2,(2k),,Mumbai + 183 more,,,"Consumer goods, Manufacturing, Electronics, Forbes Global 2000",
79,Axis Securities,4.0,(2k),Private,Mumbai + 237 more,15 years old,10000+ employees,"Financial Services, Mumbai","We are a part of the lineage of Axis Group and a proud subsidiary of Axis Bank – India’s 3rd largest private sector bank and the choice of more than 20 million clients. Making innovation and passion our motto, we have grown step-by-step in a short span of time. As the Axis Securities team, we are committed to provide the investment solutions and to offer a wide spectrum of Axis bank’s offerings to our customers."
80,Hyundai Motor,4.3,(2k),Private,Seoul + 162 more,53 years old,10000+ employees,"Automobile, Industrial Equipment / Machinery, Manufacturing, MNC, Fortune500, Forbes Global 2000","Chung Ju-Yung founded the Hyundai Motor Company in 1947 as Hyundai Engineering and Construction Co. Hyundai Motor Co. (HMC), established in 1967, is the auto sales leader in the Korean domestic market and exports vehicles to 190 countries worldwide.

Hyundai Motor Co. operates the world’s largest integrated automobile manufacturing facility in Ulsan, located on Korea’s southeast coast. In 1996, Hyundai opened the Namyang Technology Research Center, which includes a complete testing facility with a 2.8-mile oval test track and a new $40 million aeroacoustic wind tunnel. That same year, HMC began production at its state-of-the-art Asan Plant, located southeast of Seoul.

Hyundai now operates eight research centers in Korea along with four international centers, including Hyundai America Technical Center, Inc., in Ann Arbor, MI, and Hyundai California Design Center in Fountain Valley, CA. Hyundai’s automotive technology centers employ approximately 4,100 researchers with an annual budget of five percent of current revenues. Current research projects include: electric-powered vehicles, low-emission gasoline engines, solar- powered vehicles, hydrogen-powered fuel cell vehicles and other alternative fuel vehicles.

The Hyundai California Design Center, established in 1990, creates and develops both production vehicles and cutting-edge design concepts for the automotive market. Several innovative vehicles have emerged from the design center including three concept roadsters, HCD-1, HCD-2, HCD-6, a hybrid sport utility vehicle, HCD-3, the CrossTour sport utility vehicle (HCD-5) and the HCD-7 luxury sedan. The influence of the California Design Center can be clearly seen in the sleek lines of the first generation Hyundai Tiburon sporty coupe and the Santa Fe sport utility vehicle."
81,EXL Service,3.9,(1.9k),Private,"New York, USA + 18 more",21 years old,10000+ employees,"Consulting, IT / ITES, MNC","At EXL, we’re experts in more than analytics, operations management, and technology. We’re experts in you, and your industry. This gives us the context to look deeper to identify and capitalize on opportunities to outperform. We call it Digital Intelligence: the all-important combination of digital and domain knowledge, human and technology, coming together to create breakthrough results.

Digital Intelligence is why companies in the world’s most complex industries—from insurance to healthcare to transportation—bring us their toughest challenges, their seemingly impossible goals.  

Headquartered in New York, EXL has more than 30,000+ professionals in locations throughout the United States, Europe, Asia, Latin America, Australia and South Africa. We work as one committed team, with one overarching goal: to give our clients the power to transform—to move from playing catch-up to leading the pack. Because we’re not content to help our clients adapt to change. We embolden them to lead the change."
82,Oyo Rooms,3.5,(1.9k),Private,Gurgaon + 87 more,7 years old,10000+ employees,"Internet, Travel & Tourism / Hospitality, Startup, Gurgaon","Founded in India in 2013 by 18-year-old Ritesh Agarwal, OYO grew from 1 hotel to 23,000+ hotels, 1,000,000+ rooms and 125,000+ holiday homes. OYO is spread across 800 cities in 80 countries. 

Headquartered in Gurgaon, OYO is the fastest-growing and second-largest hotel chain in the world. Globally, we are known for transforming spaces into comfortable and stylish spaces with 70% - 85% occupancy rates. 

With cutting-edge technology and top industry leaders who love taking risks, we are investing in cloud kitchens, co-living, co-workspaces, student housing, extended stay residences, and grand hotel projects. If we are ambitious about disrupting the hospitality industry and seek a buzzing young work culture, OYO is the place for you!

We encourage the constant exchange of ideas among our diverse mix of OYOpreneurs around the world. You will find yourself in a potpourri of vibrant ideas and a culture rooted in diversity, talent and fun. 

But while we’re growing, we’re also learning. We look forward to receiving feedback from our employees and constantly improve our culture.

It is still Day 0 at OYO as we believe that our journey towards revolutionising the hospitality industry has just begun!"
83,Bosch,4.2,(1.9k),Public,Sttugart + 55 more,134 years old,10000+ employees,"Engineering & Construction, Fortune500, Public","Bosch, is a German multinational engineering and electronics company headquartered in Gerlingen, near Stuttgart, Germany. It is the world's largest supplier of automotive components measured by 2011 revenues. The company was founded by Robert Bosch in Stuttgart in 1886. Bosch's core products are automotive components (including brakes, controls, electrical drives, electronics, fuel systems, generators, starter motors and steering systems), industrial products (including drives and controls, packaging technology and consumer goods) and building products (including household appliances, power tools, security systems and thermotechnology)."
84,TVS Motor,4.2,(1.9k),Public,Hosur + 164 more,41 years old,5001-10000 employees,"Automobile, Manufacturing, Urban Transport, MNC, Fortune500, Public, Hosur","TVS Motor Company is the third largest two-wheeler manufacturer in India, with a revenue of 15129 Cr INR (2017-18). The company has an annual production capacity of 4 million 2 wheelers & 120,000 3 wheelers.
TVS Group spans across industries like Automobile, Aviation, Education, Electronics, Energy, Finance, Housing, Insurance, Investment, Logistics, Service and Textiles. Has over 90 Companies under the umbrella. TVS Group turnover including all key subsidiaries and associates is Rs. 59400 Cr for FY 2017-18, approximately USD 8.5 Billion."
85,Dominos Pizza,4.2,(1.9k),Public,Ann Arbor + 155 more,60 years old,10000+ employees,"Food Processing, Travel & Tourism / Hospitality, MNC, Forbes Global 2000, Public","Founded in 1960, Domino's is the recognized world leader in pizza delivery, with a significant business in carryout pizza. It ranks among the world's top public restaurant brands with its global enterprise of more than 15,000 stores in over 85 international markets. Its system is made up of franchise owner-operators who accounted for over 97% of the Domino's stores."
86,Aurobindo Pharma,4.1,(1.8k),Public,Hyderabad + 26 more,34 years old,10000+ employees,"Healthcare / Pharma, MNC, Fortune500, Public","Founded in 1986 by Mr. P.V. Ramprasad Reddy, Mr. K. Nityananda Reddy and a small group of highly committed professionals, Aurobindo Pharma was born of a vision. The company commenced operations in 1988-89 with a single unit manufacturing Semi-Synthetic Penicillin (SSP) at Pondicherry.

Aurobindo Pharma became a public company in 1992 and listed its shares on the Indian stock exchanges in 1995. In addition to being the market leader in Semi-Synthetic Penicillin’s, Aurobindo Pharma has a presence in key therapeutic segments such as neurosciences (CNS), cardiovascular (CVS), anti-retroviral, anti-diabetics, gastroenterology and Anti-biotics

Through cost effective manufacturing capabilities and a few loyal customers, the company also entered the high margin specialty generic formulations segment. Today Aurobindo Pharma has evolved into a knowledge driven company manufacturing active pharmaceutical ingredients and formulation products. It is R&D focused and has a multi-product portfolio with manufacturing facilities in several countries."
87,UnitedHealth,4.1,(1.8k),Private,Minnesota + 10 more,43 years old,10000+ employees,"Healthcare / Pharma, Forbes Global 2000",UnitedHealth Group is the most diversified health care company in the United States and a leader worldwide in helping people live healthier lives and helping to make the health system work better for everyone.
88,eClerx,3.7,(1.8k),Public,Mumbai + 11 more,20 years old,5001-10000 employees,"Consulting, IT / ITES, MNC, Public, Mumbai","We are leaders in innovative business process management, change management, data-driven insights, and advanced analytics powered by subject matter experts and smart automation. Clients benefit from our operational and domain expertise that helps them improve operational efficiency, speed, and quality in the dynamic, ever-evolving markets they serve.

Our customizable services and solutions, optimize the way companies conduct business by streamlining processes and improving business performance – while helping our clients keep costs in-line with their budgets.

We provide critical business operations services to over fifty Fortune 500 clients, including some of the world’s leading companies across the following industries:
• Retail • Media & Entertainment • Financial Services • Manufacturing • Cable & Telecom • Travel & Hospitality • Fashion • Software & High-tech

Incorporated in 2000, eClerx employs 9,500-plus people across its global sites in the US, UK, India, Italy, Germany, Singapore, Thailand and our services are broadly classified into three business divisions - eClerx Digital, eClerx Customer Operations and eClerx Markets."
89,Syntel,3.6,(1.7k),Private,Troy + 10 more,40 years old,10000+ employees,"IT / ITES, MNC","Syntel was founded in 1980 by Bharat Desai and Neerja Sethi, and its history has been defined by evolution and innovation. From pioneering the global delivery model to implementing the latest digital solutions, we have evolved continuously to stay ahead of industry and technology trends.

In 2018, the next phase of our evolution took place, as Syntel joined forces with Atos to form Atos Syntel, uniting Atos’s scale, market presence and deep capabilities in infrastructure and data management, big data, cybersecurity, high-performance computing and digital workplace with Syntel’s industry focus, global delivery model, and core and digital services powered by intelligent automation."
90,Max Life Insurance,4.3,(1.7k),Partnership,Gurugram + 196 more,20 years old,10000+ employees,"Banking / Insurance / Accounting, Consumer goods, Financial Services, Manufacturing","We are an honest life insurance company, committed to doing what is right.

We serve our customers through Long-Term Savings, Protection and Retirement Solutions, delivered by our high-quality Agency and Multi-Channel Distribution Partners

We are a business with strong social relevance and contribute to society by supporting causes in health and well-being."
91,Hero MotoCorp,4.2,(1.7k),Public,New Delhi + 174 more,36 years old,5001-10000 employees,"Automobile, Manufacturing, MNC, Fortune500, Public, New Delhi","Hero MotoCorp is India's leading two wheeler company, which has been providing customers with an excellent range of two wheelers that ensure both style and comfort. The story of Hero MotoCorp can be traced back to the vision of a mobile and empowered India, powered by its two wheelers. Today, Hero MotoCorp has made it its mission to become the best two wheeler company, not only in India but globally by setting benchmarks in style, performance and technology."
92,Larsen & Toubro In...,3.6,(1.7k),Public,Mumbai + 52 more,24 years old,10000+ employees,"Consulting, IT / ITES, MNC, Public, Mumbai","LTI (NSE: LTI) is a global technology consulting and digital solutions company helping more than 300 clients succeed in a converging world. With operations in 30 countries, we go the extra mile for our clients and accelerate their digital transformation with LTI’s Mosaic platform enabling their mobile, social, analytics, IoT and cloud journeys.

Founded 20 years ago as the information technology arm of the Larsen & Toubro group, our unique heritage gives us unrivaled real-world expertise to solve the most complex challenges of enterprises across all industries.

Each day, our team of more than 28,000 LTItes enable our clients to improve the effectiveness of their business and technology operations, and deliver value to their customers, employees and shareholders."
93,Cyient,3.6,(1.7k),Public,Hyderabad + 22 more,29 years old,10000+ employees,"IT / ITES, Manufacturing, Engineering & Construction, MNC, Fortune500, Public","From quieter flights and safer train rides to more reliable energy supply, we strive to provide comprehensive solutions that help our clients achieve their operational and business goals. To us, problems are an opportunity to use our extensive global experience and industry knowledge creatively to help our clients do more-we make them more capable, more flexible, and more competitive.  Founded in 1991, Cyient provides engineering, manufacturing, geospatial, network, and operations management services to global industry leaders. We deliver innovative solutions that add value to businesses through the deployment of robust processes and state-of-the-art technology. Our high quality products and services help clients leverage market opportunities and gain the competitive advantage.  To ensure streamlined efficiency and seamless operations, we have key centers at strategic locations across the globe."
94,Wipro Enterprises ...,3.7,(1.7k),,Bangalore + 42 more,75 years old,10000+ employees,IT / ITES,"Wipro Enterprises has Wipro Consumer Care and Lighting and Wipro Infrastructure Engineering under its umbrella. Wipro Consumer Care & Lighting is a leading FMCG business in Personal Care, Home Care, Lighting & Switches and Office Furniture. Wipro Infrastructure Engineering is a diversified engineering business in the fields of Hydraulics, Water Treatment, Additive Manufacturing, Aerospace and Automation Solutions.

Wipro Consumer Care and Lighting is among the fastest growing FMCG businesses in its operating geographies of Asia and the Middle East, with revenues of over Rs.7150 Crs. Its businesses include personal wash products, skincare products, male grooming products, toiletries, wellness products, household products, electrical wire devices, domestic and commercial Lighting and modular office furniture. It has a strong brand presence with significant market share across segments in India, South East Asia and the Middle East. In 2018-19 Wipro Consumer Care & Lighting, grew ahead of industry, to consolidate its position and market shares across geographies."
95,Muthoot Group,3.8,(1.7k),Public,New Delhi + 273 more,133 years old,10000+ employees,"Financial Services, Conglomerate, Public, New Delhi","The Muthoot Group is a flourishing business empire that has pervaded into each and every big & small town of the country, is home to 20 diversified divisions and 4500 plus branches with a global presence. Over 2 Lakh customers visit The Muthoot Group branches every day. The Group has served over 60 crore customers (including repeat customers) till date. The story of The Muthoot Group is built on the foundations of passion, commitment, honesty, traditions and values. Our principle of continuous growth and expansion forms the essence of all our activities."
96,Aditya Birla Fashi...,4.3,(1.7k),Private,Mumbai + 141 more,5 years old,10000+ employees,"Retail, Textile & Apparel, MNC, Conglomerate, Fortune500, Mumbai","Aditya Birla Fashion and Retail Ltd. (ABFRL) emerged after the consolidation of the branded apparel businesses of Aditya Birla Group comprising ABNL's Madura Fashion division and ABNL's subsidiaries Pantaloons Fashion and Retail (PFRL) and Madura Fashion & Lifestyle (MFL) in May 2015. Post the consolidation, PFRL was renamed Aditya Birla Fashion and Retail Ltd.

ABFRL is a part of the Aditya Birla Group, a US$ 48.3 billion Indian multinational, in the league of Fortune 500. Anchored by an extraordinary force of over 120,000 employees, belonging to 42 nationalities, the Aditya Birla Group operates in 34 countries across the globe."
97,JustDial,3.8,(1.7k),Public,Mumbai + 90 more,24 years old,10000+ employees,"Internet, Public, Mumbai","Just Dial Limited is India's No. 1 Local Search engine that provides local search related services to users across India through multiple platforms such as website, mobile website, Apps (Android, iOS, Windows), over the telephone (voice, pan India number 8888888888) and text (SMS).Justdial has also initiated ‘Search Plus’ services for its users. These services aim at making several day-to-day tasks conveniently actionable and accessible to users through one App. By doing so, it has transitioned from being purely a provider of local search and related information to being an enabler of such transactions. Justdial has also recently launched JD Omni, an end-to-end business management solution for SMEs, through which it intends to transition thousands of SMEs to efficiently run their business online and have adequate online presence via their own website and mobile site. Apart from this, it has also launched JD Pay, a unique solution for quick digital payments for its users and vendors, and JD Social, its official social sharing platform to provide curated content on latest happenings to users. The organisation also aims to make communication between users and businesses seamless through its Real Time Chat Messenger."
98,Mylan Laboratories,4.2,(1.6k),Private,"Canonsburg,Pennsylvania + 41 more",59 years old,10000+ employees,"Healthcare / Pharma, MNC, Forbes Global 2000","Mylan’s history, mission and values tell the story of who we are as a company. We began more than 50 years ago as a pharmaceutical distributor, providing products to customers in rural communities.

Today, we’re one of the world’s leading pharmaceutical companies, with a significant and growing presence in India. We sell our products in approximately 165 countries and territories. What hasn’t changed is our dedication to providing access to high quality medicine."
99,PwC,3.6,(1.6k),Partnership,New York + 41 more,22 years old,10000+ employees,"Banking / Insurance / Accounting, Consulting, Conglomerate","With offices in 158 countries and more than 250,000 people, we are among the leading professional services networks in the world. We help organisations and individuals create the value they’re looking for, by delivering quality in assurance, tax and advisory services."
100,JP Morgan Chase,4.0,(1.6k),Private,New York + 10 more,221 years old,10000+ employees,"Banking / Insurance / Accounting, Financial Services, MNC, Fortune500, Forbes Global 2000","JPMorgan Chase (NYSE: JPM) is one of the oldest financial institutions in the United States. With a history dating back over 200 years, here's where we stand today:

-We are a leading global financial services firm with assets of $2.6 trillion.
-We have a presence in over 100 markets.
-We have over 250,000 employees.
-We serve millions of consumers, small businesses and many of the world's most prominent corporate, institutional and government clients.
-We are a leader in investment banking, financial services for consumers and small businesses, commercial banking, financial transaction processing and asset management.
-Our stock is a component of the Dow Jones Industrial Average."
101,Oracle,3.7,(1.6k),Private,California + 23 more,43 years old,10000+ employees,"Computer Software, IT / ITES, Forbes Global 2000","Oracle is the world’s leading provider of business software. But you probably already knew that. With a presence in over 175 countries, we are one of the biggest technology companies in the world. What you might not know about us, is that we are leading a cloud revolution.

By delivering tomorrow’s emerging technologies, today, we are transforming the world of business, empowering governments, and helping society evolve with the pace of change. We are disrupting old standards. Revolutionizing industries. What we are doing, above all—is changing lives."
102,Simplex Infrastruc...,3.8,(1.6k),Public,Kolkata + 94 more,96 years old,5001-10000 employees,"Metals & Mining, Urban Transport, Engineering & Construction, MNC, Fortune500, Public, Kolkata","Simplex Infrastructures Ltd. is a diversified company established in 1924 and executing projects in several sectors like Transport, Energy & Power, Mining, Buildings, Marine, Real Estate etc.

Simplex is one of the construction leaders in India for nearly 90 years executing projects with consistent quality assurance, cost control and adherence to milestones in a safe environment as per the customer requirements. It promotes the culture of sharing rich and varied experience with staff members, as also with clients and thereby benefits and helps the growth of the construction fraternity and society at large.

The Company has been closely associated with the country’s infrastructure building with over 2600 completed projects spanning almost all the gamut of construction industry."
103,Udaan,4.1,(1.6k),Private,Bengaluru + 187 more,4 years old,1001-5000 employees,"Consumer goods, Internet, Retail, Startup, Bengaluru","Udaan is a Business-to-Business (B2B) ecommerce platform, designed to solve core trade problems for small, medium and large businesses across India. It is the largest such national distribution platform of its kind enabling retailers and businesses to source merchandise from manufacturers, brands, white labels, importers, etc. on a single platform. udaan brings to users the power of technology to grow their business.

Udaan provides access to new markets with a fast, low-cost, low-wastage, highly-reliable shipping & delivery system across India for its buyers and sellers. udaan Capital, the NBFC arm focused on SME financing service, provides financial products for sellers and buyers to grow their business

Businesses can reach out to buyers and sellers across the country. The udaan marketplace facilitates efficient and convenient transactions by offering low and best price, good quality and best selection to its retailers.

Udaan enables direct connect between buyers & sellers which allows one-on-one discussions to negotiate terms of trade between transacting parties. The chat feature allows you to have a personal and secure conversation in real time, in a language of your choice. The entire experience is seamless."
104,JLL,4.3,(1.6k),Private,Illinois + 46 more,23 years old,10000+ employees,"Real Estate, Engineering & Construction, MNC, Forbes Global 2000","We’re a world leader in real estate services, powered by an entrepreneurial spirit. We want the most ambitious clients to work with us, and the most ambitious people to work for us. It’s as simple as that.

We buy, build, occupy and invest in a variety of assets including industrial, commercial, retail, residential and hotel real estate. From tech startups to global firms, our clients span industries including banking, energy, healthcare, law, life sciences, manufacturing and technology."
105,Siemens India,4.2,(1.6k),Public,Mumbai + 70 more,153 years old,1001-5000 employees,"Manufacturing, Electronics, MNC, Fortune500, Forbes Global 2000, Public, Mumbai","Siemens India manufactures steam turbines, turbo compressors, high-voltage switchgear (circuit breakers, disconnectors and gas-insulated switchgear), switchboards, remote monitoring systems (RMS), fire detectors and suppression systems, motors and generators, relays and Smart Grid systems, transformers, and advanced medical imaging equipment. The factories replicate global, best-in-class manufacturing systems and practices, with a facility to overhaul and repair gas turbines, compressor blades and rotors.

 

Siemens India is a leader in technology solutions for intelligent (smart), sustainable cities, smart grid, building technologies, mobility and power distribution. Siemens is involved in the Restructured Accelerated Power Development and Reforms Programme (R-APDRP) of the Government of India for installing Smart Grid solutions in many cities in India. Siemens India has signed a Memorandum of Understanding with Confederation of Indian Industry (CII) to be the Lead Industry Partner in a consortium for the conceptualization and development of Smart Cities in India."
106,First Source,4.0,(1.6k),Public,Mumbai + 30 more,19 years old,10000+ employees,"BPO/KPO, Fortune500, Public, Mumbai","FirstSource is an e-distributor of scientific equipment & supplies. Offerings include analytical instruments, cooling & heating equipment, fluid handling equipment, sterilizing accessories, lab necessities, and more. Brands associated with the company are LabNet, BrightMax, Contech, Finar, Optika, and more."
107,Manappuram Finance,3.9,(1.5k),Public,Thrissur + 254 more,71 years old,10000+ employees,"Financial Services, Fortune500, Public, Thrissur","Manappuram Finance Ltd. is one of India’s leading gold loan NBFCs. Promoted by Shri. V.P. Nandakumar, the current MD & CEO, its origins go back to 1949 when it was founded in the coastal village of Valapad (Thrissur District) by his late father Mr. V.C. Padmanabhan. The firm was involved in pawn broking and money lending carried out on a modest scale. Shri Nandakumar took over the reins in 1986 after his father expired.   Since then, it has been a story of unparalleled growth with many milestones crossed. Incorporated in 1992, Manappuram Finance Ltd. has grown at a rapid pace. Today, it has 3,747 branches across 28 states/UTs with assets under management (AUM) of nearly Rs.13,0140 million and a workforce of 19,372."
108,Arvind Group,4.2,(1.5k),Public,Ahmedabad + 114 more,89 years old,10000+ employees,"Manufacturing, Textile & Apparel, Conglomerate, Fortune500, Public, Ahmedabad","We are a fashion powerhouse that is also building new age homes.We are a global leader in apparel manufacturing that is also transforming water management. A denim pioneer that is a trailblazer in advanced materials.A wearable technology manufacturer that is also delivering state-of-the-art engineering solutions.

That’s where a US$ 1.7 billion dollar conglomerate stands today.Where we aren’t just driven by bottom lines and profits, but able and willing to drive social impact;
Where our CSR and sustainability initiatives are slowly but surely changing lives and making a difference to thousands.From being just a textile company, we’ve come a long way and are striving every day to create opportunities where none exist."
109,Tata Teleservices,4.3,(1.5k),Public,Mumbai + 145 more,24 years old,1001-5000 employees,"IT / ITES, Telecom / ISP, Public, Mumbai","Tata Tele Business Services (TTBS), belonging to the prestigious Tata group of companies, is the country’s leading enabler of connectivity and communication solutions for businesses. With services ranging from connectivity, collaboration, cloud, security, IoT and marketing solutions, TTBS offers the largest portfolio of ICT services for businesses in India. Also, with fibre optic network running across 125,000 km., operations in over 60 cities, 1400+ partners and the largest team with 1200+ professionals, TTBS is well geared up to cater to the small, medium & large business community in India. TTBS strives to always get the best technology and services to businesses so that they can improve processes, reach customers more effectively, manage workforce more efficiently and Do Big. Focus on customer centricity and innovation has helped TTBS garner recognition from customers and peers alike."
110,iEnergizer,3.5,(1.5k),Private,Noida + 11 more,20 years old,10000+ employees,"BPO/KPO, IT / ITES, MNC, Noida","iEnergizer is a leading Business Process Outsourcing provider (“BPO”) of customer management solutions dedicated to delivering performance while actively supporting and advocating our client’s brand. iEnergizer helps our Partners acquire, support, retain, and grow their markets by providing complete life-cycle customer support services. From sales to customer care, technical support and back-office services, iEnergizer provides client-centric solutions to a partner base that includes a number of Fortune 500 companies operating within different industry verticals including: Healthcare Payers and Providers, Banking, Financial Services, Insurance, Gaming, Publishing and Legal. 

We don’t consider ourselves simply an outsourcing provider. We are a trusted partner who acts as an extension of our clients'​ operations. iEnergizer provides our clients with high-quality service, while lowering operating costs in an innovative atmosphere that focuses on an exemplary customer experience, combined with continuous improvements in key business impacts. Being a mid-sized company enables us to offer clients the best of both worlds—the resources to provide a scalable environment, combined with an infrastructure that allows us to remain nimble and customer-focused."
111,Dell,4.1,(1.5k),Private,Texas + 54 more,36 years old,10000+ employees,"Manufacturing, Hardware & Networking, MNC, Forbes Global 2000","Dell Inc. is an American privately owned multinational computer technology company based in Round Rock, Texas, United States, that develops, sells, repairs and supports computers and related products and services. Bearing the name of its founder, Michael Dell, the company is one of the largest technological corporations in the world, employing more than 103,300 people worldwide."
112,Godrej & Boyce Man...,4.0,(1.5k),Private,Mumbai + 87 more,123 years old,10000+ employees,"Consumer goods, MNC, Mumbai","In 1897 a young man named Ardeshir Godrej gave up law and turned to lock-making. Ardeshir went on to make safes and security equipment of the highest order, and then stunned the world by creating toilet soap from vegetable oil. His brother Pirojsha Godrej carried Ardeshir's dream forward, leading Godrej towards becoming a vibrant, multi-business enterprise. Pirojsha laid the foundation for the sprawling industrial garden township now called Pirojshanagar in the suburbs of Mumbai, where the Godrej Group has its headquarters.

Godrej & Boyce Mfg. Co. Ltd., a Godrej Group Company, started its journey with the manufacture of high quality locks in 1897. Today, we have 15 diverse business divisions offering consumer, office, and industrial products and services of the highest quality to every corner of India and across the globe."
113,Motherson Sumi Sys...,3.9,(1.5k),Public,Noida + 46 more,34 years old,10000+ employees,"Automobile, Industrial Equipment / Machinery, Manufacturing, MNC, Fortune500, Public, Noida","Samvardhana Motherson Group (SMG) combines the power of innovation and product quality to passionately create world class products that cater to customer needs across diverse industries, especially automotive. Founded in 1975, the Group has a diversified industry-leading portfolio of auto ancillary products and services that make it a full system solutions provider for its customers across the globe. With market leading products ranging from Electrical Distribution Systems, automotive rearview mirrors, polymer processing, lighting systems, air intake manifolds and HVAC systems. SMG’s principal focus is the automotive industry, globally and in India. SMG is a leading supplier to automotive industry globally. It also serves wide number of other industries. The Group recorded a turnover of USD 11.7 billion (approx.) during 2018-19."
114,Fullerton India,4.2,(1.5k),Private,Mumbai + 266 more,13 years old,10000+ employees,"Financial Services, Startup, Fortune500, Mumbai","Fullerton India started its India operations in 2007, and today it is one of the leading NBFCs with a pan India presence. With a valued strength of 13, 000 employees, we offer financial support and partnership to over 2.8 million customers, across 626 branches. We operate in the niche sectors, and provide financial access to the underserved and unserved segments. By doing so, we have introduced people to formal credit.

The firm has invested in technology and digital capabilities to enhance customer and stakeholder experience, and paved the way for – Rishta Sammaan Ka. This echoes our core values and ethos of making things simpler, in our journey to empower people. We remain gender neutral and do what is right for the community.

Our primary services constitute financing of SME for working capital and growth, loans for commercial vehicles and two-wheelers, home improvement loans, loans against property, personal loans, working capital loans for urban self-employed and loans for rural livelihood advancement, rural housing finance and financing of various rural micro enterprises.

Fullerton India Credit Company Limited is a wholly owned subsidiary of Fullerton Financial Holdings Pte. Ltd., which in turn is a wholly owned subsidiary of Temasek Holdings Pte. Ltd., Singapore. Fullerton Financial Holdings invests in financial institutions in emerging markets with its prime focus on business and consumer banking."
115,State Bank of Indi...,4.1,(1.5k),,Mumbai + 211 more,,,"Banking / Insurance / Accounting, Financial Services, MNC, Conglomerate, Government, Fortune500, Forbes Global 2000",
